13
Alice Smith,0987654321,alice@example.com
Bob frank,7539518640,bob@gmail.com
Carol White,4445556666,carol@company.com
David Brown,7778889999,david@example.com
Dinesh,7418529630,dinesh@gmail.com
Eve Davis,6665554444,eve@example.com
Frank Miller,3334445555,frank@example.com
Grace Wilson,2223334444,grace@example.com
Hannah Clark,5556667777,hannah@example.com
Ian Lewis,8889990000,ian@example.com
Kaali,9637412580,kala@gamil.com
Sam,1263549870,saminathn@gmail.com
Saminathan,9786974717,sam@gmail.com
